borrower_id,archetype,defaulted
1,gig,1
2,prime,0
3,prime,0
4,subprime,1
5,subprime,1
6,prime,0
7,gig,0
8,prime,0
9,subprime,1
10,prime,0
11,gig,1
12,prime,0
13,gig,1
14,prime,0
15,gig,1
16,prime,0
17,prime,0
18,prime,0
19,prime,0
20,prime,0
21,gig,0
22,subprime,1
23,gig,0
24,gig,0
25,subprime,1
26,gig,1
27,gig,0
28,prime,0
29,prime,0
30,prime,0
31,prime,0
32,prime,0
33,gig,0
34,prime,0
35,prime,0
36,prime,0
37,prime,0
38,subprime,1
39,prime,0
40,gig,0
41,prime,0
42,gig,0
43,subprime,1
44,prime,0
45,prime,0
46,gig,0
47,subprime,1
48,subprime,1
49,prime,0
50,subprime,1
51,prime,0
52,gig,0
53,gig,0
54,gig,1
55,prime,0
56,gig,0
57,prime,0
58,gig,1
59,prime,0
60,gig,0
61,subprime,1
62,subprime,1
63,prime,0
64,gig,0
65,prime,0
66,prime,0
67,gig,0
68,prime,0
69,prime,0
70,gig,0
71,subprime,1
72,subprime,1
73,prime,0
74,prime,0
75,prime,0
76,prime,0
77,prime,0
78,gig,1
79,gig,1
80,prime,1
81,gig,1
82,subprime,1
83,gig,0
84,gig,0
85,gig,0
86,gig,0
87,prime,0
88,gig,1
89,prime,0
90,gig,0
91,gig,0
92,prime,0
93,prime,0
94,prime,0
95,prime,0
96,prime,0
97,gig,0
98,prime,1
99,prime,0
100,prime,0
101,gig,0
102,gig,0
103,gig,0
104,gig,0
105,gig,1
106,gig,0
107,prime,0
108,prime,1
109,subprime,0
110,prime,0
111,prime,0
112,prime,0
113,gig,0
114,gig,1
115,prime,0
116,subprime,1
117,gig,1
118,subprime,1
119,prime,0
120,prime,0
121,prime,0
122,prime,0
123,subprime,1
124,subprime,0
125,subprime,1
126,prime,0
127,gig,1
128,subprime,1
129,gig,1
130,prime,0
131,prime,0
132,prime,0
133,subprime,1
134,prime,0
135,gig,0
136,prime,0
137,prime,0
138,subprime,1
139,gig,1
140,gig,1
141,subprime,1
142,subprime,1
143,subprime,1
144,subprime,1
145,prime,0
146,subprime,1
147,gig,1
148,prime,0
149,prime,0
150,gig,0
151,gig,0
152,gig,0
153,prime,0
154,subprime,1
155,gig,1
156,prime,0
157,gig,0
158,prime,0
159,prime,0
160,subprime,1
161,gig,0
